name,epigenetics
34,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
35,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
36,"0,0,0,0,0,0,0,0,0,0,0.9773333271344503,0.9773333271344503,0.9773333271344503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
37,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
38,"0,0,0,0,0,0,0,0,0,0,0.9120000203450521,0.9120000203450521,0.9120000203450521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
39,"0,0,0,0,0,0,0,0,0,0,0,0,0,0.8759999871253967,0.8759999871253967,0.8759999871253967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
40,"0.9296666781107584,0.9296666781107584,0,0,0,0,0,0,0,0,0,0.9826666712760925,0.9826666712760925,0.9826666712760925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
41,"0,0,0,0,0,0,0,0,0,0.9409999847412109,0.9409999847412109,0.9409999847412109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
42,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
43,"0,0,0.028499999394019444,0.028499999394019444,0.028499999394019444,0,0,0,0,0,0,0.05046666661898295,0.05046666661898295,0.05046666661898295,0,0,0,0,0,0,0,0,0,0,0,0.028999999165534973,0.028999999165534973,0.0,0.0,0.0,0,0"
44,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
45,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0"
46,"0,0,0,0,0,0,0,0,0,0,0.9780000050862631,0.9780000050862631,0.9780000050862631,0,0,0,0,0,0,0,0.9416666626930237,0.9416666626930237,0.9416666626930237,0,0,0,0,0,0,0.959333340326945,0.959333340326945,0.959333340326945"
47,"0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9336666862169901,0.9336666862169901,0.9336666862169901"
48,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
49,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
50,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
51,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
52,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
53,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
54,"0,0.5706666707992554,0.5706666707992554,0.5706666707992554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8446666598320007,0.8446666598320007"
55,"0.8760000069936117,0.8760000069936117,0.8760000069936117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
56,"0,0,0.9653333425521851,0.9653333425521851,0.9653333425521851,0,0,0,0.9703333377838135,0.9703333377838135,0.9703333377838135,0,0,0,0,0,0,0,0,0,0,0,0,0.9053333202997843,0.9053333202997843,0.9053333202997843,0,0,0,0,0,0"
57,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
58,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
59,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
60,"0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0.9646666844685873,0.9646666844685873,0.9646666844685873,0,0,0,0,0,0,0,0,0"
61,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972000002861023,0.972000002861023,0.972000002861023,0,0,0,0,0,0,0,0,0"
62,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
63,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
64,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
65,"0,0,0,0,0,0,0,0,0,0,0.9290000001589457,0.9290000001589457,0.9290000001589457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
66,"0,0,0,0,0,0.9143333435058594,0.9143333435058594,0.9143333435058594,0.8786666591962179,0.8786666591962179,0.8786666591962179,0.8276666601498922,0.8276666601498922,0.8276666601498922,0,0,0,0,0,0,0.875,0.875,0.875,0,0,0,0,0,0,0,0,0"
67,"0,0,0,0,0,0,0,0.934333344300588,0.934333344300588,0.934333344300588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
68,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
69,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.028566665947437286,0.028566665947437286,0.028566665947437286,0,0,0"
70,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
71,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9290000001589457,0.9290000001589457,0.9290000001589457,0,0,0,0,0,0"
72,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9583333532015482,0.9583333532015482,0.9583333532015482,0,0,0,0,0,0,0"
73,"0,0.9639999866485596,0.9639999866485596,0.9639999866485596,0,0.9646666646003723,0.9646666646003723,0.9646666646003723,0,0,0.9616666634877523,0.9616666634877523,0.9616666634877523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
74,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
75,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
76,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
77,"0,0,0,0,0,0,0,0,0,0,0.969000001748403,0.969000001748403,0.969000001748403,0,0,0.990666667620341,0.990666667620341,0.990666667620341,0,0,0,0,0,0,0,0,0.9706666668256124,0.9706666668256124,0.9706666668256124,0,0,0"
78,"0.12266666690508525,0.12266666690508525,0,0,0,0,0,0,0,0.937666674455007,0.937666674455007,0.937666674455007,0,0,0,0,0,0,0,0.9819999933242798,0.9819999933242798,0.9819999933242798,0,0,0,0,0,0,0,0,0,0"
79,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.943666676680247,0.943666676680247,0.943666676680247,0,0,0"
80,"0.9939999977747599,0.9939999977747599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
81,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
82,"0.9743333458900452,0.9743333458900452,0,0,0.965666651725769,0.965666651725769,0.965666651725769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9610000054041544,0.9610000054041544,0.9610000054041544,0,0,0,0,0,0,0,0,0"
83,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
84,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
85,"0,0,0,0,0,0,0,0,0,0,0,0,0,0.9636666576067606,0.9636666576067606,0.9636666576067606,0,0,0,0,0,0,0,0,0,0,0.9356666604677836,0.9356666604677836,0.9356666604677836,0,0,0"
86,"0.9233333269755045,0.9233333269755045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
87,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9653333425521851,0.9653333425521851,0.9653333425521851,0,0,0,0,0,0,0,0,0,0,0,0,0"
88,"0,0,0,0,0,0,0,0,0,0,0,0.9043333331743876,0.9043333331743876,0.9043333331743876,0,0,0,0,0,0,0.9096666574478149,0.9096666574478149,0.9096666574478149,0,0,0,0,0,0,0,0,0"
89,"0,0,0,0,0,0,0,0,0.9346666733423868,0.9346666733423868,0.9346666733423868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
90,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9089999993642172,0.9089999993642172,0.9089999993642172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
91,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
92,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
93,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
94,"0,0.9526666601498922,0.9526666601498922,0.9526666601498922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
95,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9459999998410543,0.9459999998410543,0.9459999998410543,0,0,0,0,0,0,0,0,0,0,0.9640000065167745,0.9640000065167745,0.9640000065167745"
96,"0,0,0,0,0,0,0,0,0,0,0,0,0,0.9776666561762491,0.9776666561762491,0.9776666561762491,0,0,0,0.9633333285649618,0.9633333285649618,0.9633333285649618,0,0,0,0,0,0,0,0,0,0"
97,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9459999998410543,0.9459999998410543,0.9459999998410543,0,0,0,0"
98,"0,0,0,0,0,0.971666673819224,0.971666673819224,0.971666673819224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
99,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9433333277702332,0.9433333277702332,0.9433333277702332,0"
100,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
101,"0,0.01283333326379458,0.01283333326379458,0.01283333326379458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03700000047683716,0.03700000047683716,0.011499999711910883,0.011499999711910883,0.011499999711910883,0.040766665091117225,0.040766665091117225,0.05000000074505806,0.05000000074505806,0.05000000074505806,0,0"
102,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9836666584014893,0.9836666584014893,0.9836666584014893,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
103,"0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
104,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953333338101705,0.953333338101705,0.953333338101705,0,0,0,0,0,0,0,0"
105,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953333338101705,0.953333338101705,0.953333338101705,0,0,0,0,0,0,0,0,0,0"
106,"0,0,0,0,0,0,0,0,0.04860000063975652,0.04860000063975652,0.04860000063975652,0.05113333215316137,0.05113333215316137,0.05113333215316137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
107,"0,0,0,0,0,0,0,0,0.9413333336512247,0.9413333336512247,0.9413333336512247,0,0.934333344300588,0.934333344300588,0.934333344300588,0,0,0,0,0.9553333322207133,0.9553333322207133,0.9553333322207133,0,0,0,0,0,1.0,1.0,1.0,0,0"
108,"0,0,0.9463333288828532,0.9463333288828532,0.9463333288828532,0,0.984000007311503,0.984000007311503,0.984000007311503,0,0,0,0,0,0,0.9410000046094259,0.9410000046094259,0.9410000046094259,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
109,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953333338101705,0.953333338101705,0.953333338101705,0,0,0,0,0,0,0,0,0"
110,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
111,"0,0,0,0,0,0.9056666692097982,0.9056666692097982,0.9056666692097982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
112,"0,0.9736666679382324,0.9736666679382324,0.9736666679382324,0,0,0,0,0,0,0,0,0,0,0.9856666723887125,0.9856666723887125,0.9856666723887125,0,0,0,0,0,0,0,0,0,0,0,0,0.9623333414395651,0.9623333414395651,0.9623333414395651"
113,"0,0,0,0,0,0,0,0,0,0.9673333366711935,0.9673333366711935,0.9673333366711935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
114,"0,0,0,0,0,0,0,0,0,0,0.9393333395322164,0.9393333395322164,0.9393333395322164,0,0,0,0,0,0,0,0,0,0,0.971666673819224,0.971666673819224,0.971666673819224,0,0,0,0,0,0"
115,"0,0,0,0,0,0,0,0,0.9723333319028219,0.9723333319028219,0.9723333319028219,0,0,0,0,0,0,0.987666666507721,0.987666666507721,0.987666666507721,0,0,0,0,0,0,0,0,0,0,0.8569999933242798,0.8569999933242798"
116,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969000001748403,0.969000001748403,0"
117,"0,0,0,0,0.8416666785875956,0.8416666785875956,0.8416666785875956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
118,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0"
119,"0,0,0,0.9446666836738586,0.9446666836738586,0.9446666836738586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
120,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
121,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
122,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055666665236155195,0.0055666665236155195,0.0055666665236155195,0,0,0,0,0"
123,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8833333253860474,0.8833333253860474,0.8833333253860474,0,0"
124,"0,0.8453333179155985,0.8453333179155985,0.8453333179155985,0,0,0,0,0,0.9416666626930237,0.9416666626930237,0.9416666626930237,0,0,0,0,0,0,0,0,0,0,0,0.9183333317438761,0.9183333317438761,0.9183333317438761,0,0.9049999912579855,0.9049999912579855,0.9049999912579855,0,0"
125,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9736666679382324,0.9736666679382324,0.9736666679382324,0,0,0,0,0"
126,"0,0,0,0,0,0.765999992688497,0.765999992688497,0.765999992688497,0,0,0,0,0,0.8993333180745443,0.8993333180745443,0.8993333180745443,0,0,0,0,0.9583333333333334,0.9583333333333334,0.9583333333333334,0,0,0,0,0,0,0.9423333406448364,0.9423333406448364,0.9423333406448364"
127,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
128,"0,0,0,0,0,0,0,0,0.9673333366711935,0.9673333366711935,0.9673333366711935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9806666771570841,0.9806666771570841,0.9806666771570841"
129,"0,0,0,0,0,0,0,0,0,0,0,0,0,0.9673333366711935,0.9673333366711935,0.9673333366711935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
130,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
131,"0,0,0,0.9709999958674113,0.9709999958674113,0.9709999958674113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
132,"0,0,0,0,0,0,0,0,0,0,0,0,0,0.9709999958674113,0.9709999958674113,0.9709999958674113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
133,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
134,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
135,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
136,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
137,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
138,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
139,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
140,"0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0"
141,"0,0.9806666771570841,0.9806666771570841,0.9806666771570841,0,0,0,0,0.9663333296775818,0.9663333296775818,0.9663333296775818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
142,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
143,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9490000009536743,0.9490000009536743,0.9490000009536743,0,0,0"
144,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9279999931653341,0.9279999931653341,0.9279999931653341,0,0,0,0,0"
145,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
146,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
147,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
148,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
149,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
150,"0,0,0,0,0,0,0,0,0,0,0.9123333295186361,0.9123333295186361,0.9123333295186361,0,0,0,0,0,0,0.9819999933242798,0.9819999933242798,0.9819999933242798,0,0,0,0,0,0,0,0,0,0"
151,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9679999947547913,0.9679999947547913,0.9679999947547913,0"
152,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9336666663487753,0.9336666663487753,0.9336666663487753,0,0,0,0,0,0,0,0,0"
153,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9050000111262003,0.9050000111262003,0.9050000111262003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
154,"0,0,0,0,0,0,0,0,0,0.9399999976158142,0.9399999976158142,0.9399999976158142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
155,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
156,"0,0,0,0,0,0,0,0,0,0,0.9633333285649618,0.9633333285649618,0.9633333285649618,0,0,0,0,0,0,0.9799999992052714,0.9799999992052714,0.9799999992052714,0,0,0,0,0,0,0,0,0,0"
157,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
158,"0,0,0,0,0,0.02223333219687144,0.02223333219687144,0.04766666889190674,0.04766666889190674,0.04766666889190674,0,0,0,0,0,0,0,0,0,0,0,0,0.04943333317836126,0.04943333317836126,0.04943333317836126,0,0,0,0,0.15329999973376593,0.15329999973376593,0.15329999973376593"
159,"0,0.05600000048677126,0.05600000048677126,0.05600000048677126,0,0,0,0,0,0,0,0.057833333810170494,0.057833333810170494,0.057833333810170494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09950000047683716,0.09950000047683716,0.09950000047683716"
160,"0.04766666889190674,0.04766666889190674,0.04766666889190674,0,0,0,0,0,0,0,0,0,0,0,0,0.04943333317836126,0.04943333317836126,0.04943333317836126,0,0,0,0,0.15329999973376593,0.15329999973376593,0.15329999973376593,0,0,0,0,0,0,0"
161,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7206666668256124,0.7206666668256124,0.7206666668256124,0,0,0,0,0,0,0,0,0,0,0,0"
